REGION,DISTRICT,Region,District,Classification,Latitude,Longitude,Total_Population,Male_15_64,Female_15_64,Poverty_Incidence_pct,Poverty_Intensity_pct,Unemployment_Rate_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Youth_Dependency_Ratio,Sex_Ratio_15_64,Sexually_Active_Pop_pct,DHS_Region,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct,HIV_Awareness_Women_pct,Condom_Use_pct,High_Risk_Sex_pct,Ever_Tested_HIV_pct,Know_Where_Test_pct,Accepting_Attitudes_pct,TB_Incidence_per100k,TB_HIV_CoInfection_pct,TB_Treatment_Success_pct,ART_Coverage_pct,VCT_Uptake_pct,Doctors_per10k,Nurses_per10k,OOP_Expenditure_pct,HIV_TB_Hotspot,Nat_HIV_New_Infections_per1000,Nat_HIV_Positivity_pct,Nat_PLHIV_All_Ages,Nat_HIV_Deaths,Nat_TB_Incidence_per100k,Nat_TB_New_Relapse_Cases,Nat_TB_HIV_Positive_pct,Data_Source_HIV,Data_Source_TB,Data_Source_Socioeconomic,Data_Source_Geometry,LISA_I,LISA_quadrant,LISA_p_sim,LISA_sig,LISA_cluster,BvLISA_I,BvLISA_quadrant,BvLISA_p,BvLISA_sig,BvLISA_cluster,Gi_z,Gi_p,Gi_cluster,GWR_coef_HIV_Prev_Total_pct,GWR_coef_Poverty_Intensity_pct,GWR_coef_Uninsurance_Rate_pct,GWR_coef_Doctors_per10k,GWR_local_R2,RF_Risk,XGB_Risk,LGB_Risk,Stacked_Risk,Ensemble_Risk_Score
GREATER ACCRA,ADENTA MUNICIPAL,GREATER ACCRA,ADENTA MUNICIPAL,,5.624192658333333,-0.2349828662869439,173578.5,55808.77777777778,58485.944444444445,13.344444444444443,43.36016697952631,46.98513285739416,13.156459172332683,40.51034686718933,51.17414088634635,0.9360155823917496,65.98249284508076,,2.6000000000000005,1.3999999999999997,2.012566261350913,55.5357142857143,43.53333333333333,31.47142857142857,33.33333333333334,60.04999999999999,52.97000000000001,144.0384651859599,12.35353247494442,92.37824944419664,67.95737985565589,39.42698900961371,3.3474906506070354,45.87963772048502,22.56093875901817,0.1666666666666666,0.47,2.54,330951.4381370897,13133.233733555986,126.0,19992.015333860727,11.956138574806534,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.0001774156667157,3,0.491,0,Not Significant,0.1040041646547425,1,0.1,0,Not Significant,-0.0133709816233068,0.491,Not Significant,7.933066689111952,2.762619422544744,0.1416618125299768,-0.5692562666523041,0.912294145906106,0.0006666666666666,0.0045890715,1.6067994964558213e-05,0.0259329575757606,0.0078011909336782
GREATER ACCRA,LEDZOKUKU MUNICIPAL,Greater Accra,Ledzokuku Municipal,Municipal,5.6050983,-0.114493361214251,217304.0,72722.0,76060.0,11.3,42.814360573081366,45.678712370570345,9.680799016586834,37.516554438305775,44.20299337582954,0.9414930515742566,68.46721643411993,Greater Accra,2.6000000000000005,1.3999999999999997,2.0185068508347754,55.535714285714285,43.53333333333334,31.47142857142857,33.33333333333333,60.04999999999999,52.970000000000006,159.5385110872446,13.006728066648176,88.74465810563233,62.46333557569104,41.81517915841136,3.5342212419752026,46.68850281663604,24.110094596587444,0.0,0.47,2.54,329013.69325788144,13079.277513385834,126.0,20070.62372415615,11.933836272320574,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",-0.0140576132648931,4,0.444,0,Not Significant,0.0733204287441262,1,0.185,0,Not Significant,-0.1229921546004899,0.44400001,Not Significant,7.962531959315499,2.7901093389342537,0.1424608110454474,-0.5164085836143597,0.9072508363543588,0.3562512987012987,0.4137953,0.076455968607187,0.2260539051902876,0.2681391162190613
NORTHERN EAST,CHEREPONI,North East,Chereponi,District,10.1792653999999,0.207987165887793,87176.0,20495.0,22457.0,53.8,44.41564717562067,65.29074188458024,59.33845527743334,30.42582741097493,101.21167878751712,0.9090015715727388,49.27044140589153,Northern (pre 2022),0.7,0.7999999999999999,0.7484285871828286,35.45,19.04999696954708,15.114285714285714,32.971168522657855,30.305394896418065,38.91892834889244,84.81624834931498,11.192196676199575,81.67266598030915,58.72018790137363,23.259211629236347,1.756288690940473,35.5392339427036,31.861074048837136,0.0,0.47,2.54,331442.0680369702,12868.586103077389,126.0,20199.78469735326,11.94160074548615,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.2323351823601877,3,0.063,0,Not Significant,0.5908841093717299,3,0.252,0,Not Significant,-0.9711255291872578,0.063,Not Significant,7.250899406014538,1.352859614825118,0.1993749279077159,-0.8098204085542355,0.83309119302738,0.0397523809523809,0.010467258,2.0141082083000952e-05,0.0281901280954135,0.0196074771029708
UPPER WEST,WA EAST,Upper West,Wa East,District,10.06069,-2.50192,91457.0,25357.0,24624.0,48.7,44.78242199035436,52.63819566958178,58.29694320332082,31.497836945005115,79.27385769733782,1.026548344814541,54.64972610079053,Upper West,2.0044660847949425,1.5989610990891492,1.8128070483895755,43.15,44.27011915765724,15.279999999999998,33.333333333333336,51.44920003667685,40.44460846443862,131.55781331209846,23.31024390990674,87.1800117616294,56.27752194674105,23.88494869413209,1.56292399329393,33.92988560871889,31.474526248883585,1.0,0.47,2.5400000000000005,333116.2888110756,12935.087792849208,126.0,20109.716426103525,12.08173688116162,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.8429883409306692,1,0.135,0,Not Significant,-0.0227204417995001,2,0.278,0,Not Significant,0.4092541997188845,0.13500001,Not Significant,7.85750304992139,1.1408508766619383,0.2083028730744392,-0.4227062481027901,0.8151556121389614,0.791290293040293,0.9941943,0.9998779806268564,0.9457675629925394,0.9327825413611578
UPPER WEST,WA MUNICIPAL,Upper West,Wa Municipal,Municipal,10.0623261,-2.5054273,200672.0,60148.0,62830.0,16.5,43.35936204086782,56.3434845999985,31.3950290463047,10.925152077573856,59.58118688728897,0.985759730798753,61.28308882155956,Upper West,2.016716522640458,1.6113461330356942,1.7996669128231693,43.15,44.49707058483386,15.279999999999998,33.333333333333336,51.13104958154607,40.47485789395289,144.53536417919057,10.46809263600426,95.63245233521477,71.061963390185,38.46724601475106,3.2119703264738537,46.86183749680993,24.391616141770093,0.0,0.47,2.54,328530.99738894857,12918.414232896866,126.0,19999.929146380466,11.974410743764704,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",-0.470633700736392,2,0.007,1,Low-High,-0.0878540008262237,2,0.018,1,Low-High,1.2356974755306225,0.007,Not Significant,7.729822504117592,1.2765432468008726,0.2109526734347042,-0.2092502267100223,0.8262706665055346,0.0661904761904762,0.0050645494,4.420267816578483e-06,0.028889278169382,0.0250371810044753
NORTHERN,SABOBA,Northern,Saboba,District,9.70870525,0.196098328672698,95683.0,24741.0,26074.0,46.0,45.09280737364768,59.57997410447554,46.14204104152487,24.92808285348822,82.40699056623843,0.9267809563055012,53.10765757762612,Northern (pre 2022),0.6952021974696034,0.8005077621361424,0.7528534139827299,35.63074902858336,19.143640669515666,15.114285714285714,33.42067421641872,30.67659128472025,38.55793967818556,88.8093061216448,5.0,87.31323926409118,50.8066471995829,25.64610205871948,1.737876899832668,30.30240884304698,31.355616811192547,0.0,0.4672300979883674,2.5561418415035297,332718.80964956,13000.174794337605,126.0,20107.54562905021,12.033816012810078,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.819391088897401,3,0.264,0,Not Significant,2.066801870640961,3,0.067,0,Not Significant,-0.5747528468329915,0.264,Not Significant,7.311900493686225,1.4181054704152167,0.1994360831054253,-0.7268723830476098,0.8422299817419646,0.0344880952380952,0.006952267,1.7242397680713303e-06,0.0275262988036467,0.017242096355415
UPPER WEST,JIRAPA,UPPER WEST,JIRAPA,,10.331309325,-2.5010639733851683,90499.33333333331,25148.33333333333,26407.0,38.31666666666667,45.22234247678351,58.7033220240134,49.7258559297632,24.57383774038096,69.75410945321681,0.9899304938258584,55.87731189798481,,2.0159987843221696,1.6144381054223431,1.7968461080544298,43.15,44.54667041020432,15.28,33.333333333333336,51.016355397309646,40.5856789481802,145.7596566523359,15.920631782544984,86.14625119499793,59.41206422037907,28.11331534309116,2.0980669933216114,34.20467384990838,31.861068674087225,0.3333333333333333,0.4699999999999999,2.54,329753.7142856755,12924.262791432417,126.0,20020.272806620964,11.922189855265316,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.4041997459915035,1,0.088,0,Not Significant,-0.0620573997207746,2,0.058,0,Not Significant,0.5963505466445488,0.088,Not Significant,7.803358671602492,1.1347775412432868,0.2099104043976437,-0.537393563105641,0.8184201004290942,0.0672190476190476,0.0045964285,1.3669048447008608e-05,0.029093416663209,0.0252306404526757
NORTHERN,GUSHEGU,NORTHERN,GUSHEGU,,9.373536909090909,-0.2253629781244969,102630.90909090907,25133.0,27125.090909090908,47.32727272727273,44.7968998416943,55.21573101599104,55.56926712848275,43.4497868370577,91.20892058396213,0.9232216669500322,50.71755224866092,,0.6956354128939662,0.7982783094427125,0.7593887864141168,35.33149230357848,19.157574198209552,15.114285714285716,33.11537835213641,30.88116285249837,38.67779130508282,95.51841001423044,9.684657481160729,84.96003306783635,53.16703835104302,25.069892446248392,1.8733801613503849,34.36916470198193,30.744014448432328,0.0909090909090909,0.4699723968528106,2.564432750741335,329488.7280174003,13115.282117234496,126.0,19968.957673455363,12.113604160760053,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.1874799425093948,3,0.195,0,Not Significant,0.8228806510816151,3,0.064,0,Not Significant,-0.3539238619212889,0.195,Not Significant,7.419764855542792,1.3635683912688863,0.2025754571077462,-0.677168144008526,0.8268264079744903,0.0043,0.0065173847,3.0053412842060705e-06,0.0259525632119196,0.0091932383050383
UPPER WEST,SISSALA WEST,Upper West,Sissala West,District,10.7467085,-2.29346951572635,63828.0,16844.0,17554.0,32.3,45.54978972410266,61.145344946739705,46.07568112679449,9.742839229710723,79.93411028666205,0.9577187156127174,53.8917089678511,Upper West,2.0109940898052447,1.6123176921609823,1.8180261420432933,43.15,44.057557802143535,15.279999999999998,33.333333333333336,51.248730688357135,40.4798833115558,130.75242661456883,15.279873697845735,82.8585056327032,62.17224152849366,26.549507480851076,1.586551241514868,28.019441810850164,35.72556106176129,0.0,0.47,2.54,328310.01037181594,12894.962382391956,126.0,19847.984147303705,11.96369752566047,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.3352658776128967,1,0.116,0,Not Significant,-0.0702003890238149,2,0.052,0,Not Significant,0.6048457210169235,0.116,Not Significant,7.909330242336548,1.0535158414018932,0.2093864284419191,-0.7139183156867239,0.8140578919552917,0.1042563492063492,0.007335851,3.389201200815966e-05,0.0305340994837212,0.0355400479177588
NORTHERN,NANUMBA NORTH,NORTHERN,NANUMBA NORTH,,9.373536909090909,-0.2253629781244969,102630.90909090907,25133.0,27125.090909090908,47.32727272727273,45.87370872125948,55.27527566525247,55.52586171195081,38.66288214982984,91.29129834400946,0.9277547555795048,50.71755224866092,,0.6960094373613351,0.7916404535730632,0.7541179001547029,35.88591964892402,19.04768323228773,15.114285714285716,33.21178799982744,30.673423536760648,39.09088942193751,95.51841001423044,9.684657481160729,84.96003306783635,53.16703835104302,25.069892446248392,1.8733801613503849,34.36916470198193,30.744014448432328,0.0909090909090909,0.4663165890664202,2.54657698925814,326297.27656292275,13143.465492922003,126.0,19859.98323900008,11.883057110802104,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,"Ghana 260-district basemap (post-2018 Local Governance Act); Guan District (Oti Region) added as a 261st row sharing its parent Krachi East Municipal polygon for adjacency purposes (no distinct legacy polygon exists) -- structural-gap convention, not a distinct surveyed boundary",0.3933165422683219,3,0.047,1,Low-Low,1.3307313006302954,3,0.018,1,Low-Low,-0.7402489696107565,0.047,Not Significant,7.869436552225203,1.6582174532415468,0.1998009461749254,-0.5028293739058577,0.8710145519918094,0.0043,0.0065173847,3.0053412842060705e-06,0.0259525632119196,0.0091932383050383
