Variable,Moran's I,Expected I,z-score,p-value,Autocorrelation
HIV_Prev_Total_pct,0.7742,-0.0038,22.018,0.001,Positive clustering
TB_Incidence_per100k,0.6184,-0.0038,16.727,0.001,Positive clustering
TB_HIV_CoInfection_pct,0.4724,-0.0038,12.653,0.001,Positive clustering
ART_Coverage_pct,0.2978,-0.0038,8.26,0.001,Positive clustering
VCT_Uptake_pct,0.4975,-0.0038,13.168,0.001,Positive clustering
Poverty_Intensity_pct,0.728,-0.0038,20.209,0.001,Positive clustering
Illiteracy_Rate_pct,0.8147,-0.0038,22.037,0.001,Positive clustering
Uninsurance_Rate_pct,0.5194,-0.0038,14.487,0.001,Positive clustering
Doctors_per10k,0.3699,-0.0038,9.969,0.001,Positive clustering
Condom_Use_pct,0.8335,-0.0038,23.446,0.001,Positive clustering
Ever_Tested_HIV_pct,0.8581,-0.0038,23.054,0.001,Positive clustering
