Feature,Mean_abs_SHAP
HIV_Prev_Total_pct,4.103058761440959
HIV_Prev_Men_pct,2.9935908885510676
VCT_Uptake_pct,1.8201106857517246
Poverty_Incidence_pct,1.4728062548836909
TB_Incidence_per100k,1.435579934254643
Illiteracy_Rate_pct,1.091321288114121
Uninsurance_Rate_pct,0.7448862485300355
Sexually_Active_Pop_pct,0.629997438569214
HIV_Prev_Women_pct,0.5887923151880509
ART_Coverage_pct,0.5849076965363759
Accepting_Attitudes_pct,0.5781449185541606
Unemployment_Rate_pct,0.4869800988668732
Poverty_Intensity_pct,0.439675372058001
OOP_Expenditure_pct,0.38918869158452996
Sex_Ratio_15_64,0.3726296123974356
Ever_Tested_HIV_pct,0.3240286953471972
Youth_Dependency_Ratio,0.3014083525285153
Doctors_per10k,0.1650856258780083
TB_Treatment_Success_pct,0.13923801282422432
HIV_Awareness_Women_pct,0.09128148495017853
High_Risk_Sex_pct,0.07517230285014614
Condom_Use_pct,0.06950211246334737
Nurses_per10k,0.061411714229819905
Know_Where_Test_pct,0.038855392470666224
